friends,0.9993654822335025,3211
feel,0.9993654822335025,3918
like,0.9968298268442887,3598
lonely,0.9961961143033833,2228
people,0.993032382952408,2730
one,0.9923998782498905,2378
want,0.991763347419413,3029
know,0.9911360766832435,2583
alone,0.9898670411502487,1805
even,0.9892413808652631,2169
make,0.9860877148341879,2021
talk,0.9860857017702079,2587
really,0.9835689691824062,2041
get,0.9835641378288541,2500
time,0.9829388801566648,2223
years,0.9816811177819578,1694
life,0.9804265763096188,2041
feel like,0.980424160632843,1680
never,0.9766605362158263,1727
someone,0.9753947215851994,2328
try,0.9747799318457059,1648
always,0.9703974915612358,1310
much,0.9697746495658224,1377
day,0.9685241342214435,1550
anyone,0.9666362828209952,1840
person,0.9647822508954108,1347
live,0.9629088935556186,1032
things,0.9616519364065036,1541
think,0.9603885374526527,1713
still,0.9579382359761911,1045
family,0.9572602360277256,808
see,0.9566925519853642,1142
going,0.9566893310829963,1283
care,0.9554557254760494,1035
loneliness,0.9553599036306012,730
work,0.9548365069957999,1052
since,0.9523177613440181,853
school,0.9510294003968152,743
everyone,0.9498726938339045,939
could,0.9467923033317014,1001
good,0.9467488211497334,1162
social,0.9467303009611172,793
ever,0.9430898760596769,1003
back,0.9424758915457755,952
every,0.9418433868432581,855
something,0.9418313084593779,1060
would,0.9379831353552011,1478
way,0.9375060391919401,1072
hard,0.9363006164807132,771
relationship,0.9350988172846504,889
started,0.9338394444587595,1022
wish,0.9320212450720194,794
anymore,0.9320107771393235,761
anything,0.9313529078306578,1048
around,0.9301865385606432,782
depression,0.930156342600943,725
say,0.9276198819861373,1089
last,0.9253008322811719,758
new,0.9240853442500451,775
end,0.924083331186065,836
feel lonely,0.9224805296451853,518
home,0.9190007472493494,569
made,0.9186053814836764,761
got,0.9155092890824293,939
months,0.9136838426653612,646
hate,0.9125291491664306,737
away,0.911913554201345,713
thought,0.9112375673168595,905
felt,0.9106839747223583,662
nothing,0.9064778788425365,781
left,0.9062967030843362,558
also,0.9058590629750831,801
seems,0.9046649134221444,779
love,0.9043665773403077,1548
lot,0.9040452923290989,805
used,0.9022552758380789,774
point,0.9022444052925868,661
close,0.9021135561338866,561
find,0.8994627534850164,1038
else,0.897948124146461,837
actually,0.8968135612873303,637
happy,0.8961738095544848,823
come,0.8956049176737355,805
need,0.8933728323327063,1318
make friends,0.8933188822180421,412
keep,0.893211787214306,787
hang,0.8929138537452652,467
many,0.8878481795459816,653
moved,0.8877354479631013,525
sad,0.8842484185369373,703
group,0.8810045672395578,450
first,0.8800938570950038,665
best,0.8800431278827076,713
hurt,0.8782857230281635,573
nobody,0.87673566376356,422
right,0.8757569120564817,777
connection,0.8751183681620243,454
leave,0.8740160143265737,477
though,0.8735119431059806,540
sometimes,0.8717815133087686,585
week,0.8717533304130486,545
lost,0.8705930003349738,564
ago,0.8704601381122935,470
miss,0.8669115089283413,471
meet,0.8634852740343735,609
almost,0.8627054130485197,450
guess,0.8623064237676827,509
fucking,0.8591535629621995,729
take,0.8585146164549461,738
everything,0.8573389870906233,738
real,0.8569661676415264,480
parents,0.8568244479373341,335
well,0.8551761511505064,631
maybe,0.8545408281584169,676
tired,0.8540826547965679,492
tell,0.8535922724110386,771
wrong,0.8534453187404983,474
two,0.8526227807982684,417
conversation,0.8499896931124223,536
long,0.849355577958721,799
read,0.8488104402329357,545
ask,0.8479838761627457,693
cry,0.8447066080032982,466
realize,0.8399606083640392,427
job,0.8398978007678631,403
anxiety,0.8396586487670386,366
reason,0.8395008245510062,491
spend,0.8387978626091885,412
friendship,0.8370481073977686,408
feel alone,0.8364739815506712,301
call,0.8360033271921461,514
change,0.8348091776392075,448
enough,0.8325368310185781,477
college,0.8309444974103944,357
recently,0.8300808929629725,388
worse,0.8292978110747508,360
bad,0.8284261543714087,678
past,0.8261308588214075,420
better,0.8258715761807829,735
without,0.8250019325414208,495
happened,0.8241161843902187,601
help,0.8232819706769049,930
another,0.8232239944342807,520
high,0.8203573913267541,336
probably,0.8192244389188076,496
die,0.8127774002164446,376
put,0.8123558646190318,486
already,0.8096350073436573,332
stop,0.8095174444072252,581
pretty,0.8093978684068128,507
kind,0.8082564611301502,508
text,0.8060308175938571,488
online,0.8054285088510397,378
pain,0.8047875492798062,370
single,0.8031376420417945,373
hope,0.8016061029658069,864
old,0.8013927181839263,508
least,0.8010021837718055,410
makes feel,0.8009659486201655,390
fun,0.8002891565100878,374
turn,0.7992669226210415,392
completely,0.7985945592517198,375
understand,0.7984705545105516,513
able,0.7975984951944137,406
either,0.7975453503053416,384
went,0.7969015724445361,373
kids,0.7959433539900539,263
isolated,0.7916547224870519,275
sit,0.7899552938751321,329
literally,0.7894624958128269,336
problems,0.7884728735602566,430
night,0.786444510294004,565
interested,0.7850607301141488,659
interaction,0.7822766626298024,241
play,0.7809560926589193,462
whole,0.7805792470818624,347
best friend,0.7787356830889742,312
yet,0.7783850073436575,354
stay,0.7776752009843078,435
games,0.7775725347213275,445
place,0.7752643555618541,457
little,0.7736820872735705,529
honestly,0.7726735422195882,307
become,0.771715323765106,402
sorry,0.7706218274111676,362
gone,0.7677431459197609,256
sucks,0.7672286067664718,340
nice,0.7664841757066659,427
hours,0.761731331649875,349
usually,0.7613931369012342,278
anyway,0.7578718853874101,354
weird,0.7576202523899096,281
shit,0.7562928380014945,487
due,0.7559417596433817,216
self,0.7555186135947848,293
next,0.7528239261511506,303
outside,0.7518069262284521,254
even though,0.7509421139426422,267
girlfriend,0.7496038290087351,320
lose,0.7495241116751269,294
different,0.7481701248421757,451
scared,0.7442603519802108,255
age,0.7435775206781933,321
couple,0.740842169342163,313
show,0.7375592646035714,325
said,0.7374658584348991,456
enjoy,0.7367331031461775,392
give,0.7361585746862841,722
room,0.7355349274652787,216
lately,0.7353851555051664,320
cause,0.734829549846685,327
mom,0.7296688590275452,201
world,0.7281574505913577,448
mental,0.7280644470354815,373
empty,0.7260111217758767,254
talk people,0.7259511324692726,213
want someone,0.7250585399005386,278
truly,0.723489155221727,225
sleep,0.7233007324331984,403
plans,0.7232487953825144,246
issues,0.721313838284934,289
post,0.7185092375479915,691
exist,0.7183900641603752,240
house,0.7148607603906311,278
struggling,0.7116020124197996,257
reach,0.7111076039063104,271
years ago,0.708778891494241,190
mind,0.7079744711278312,516
dont,0.7071982336571414,412
stuff,0.7060576316060707,382
matter,0.7053566827282332,389
came,0.7052193917647969,213
bored,0.70228233141797,317
friends feel,0.7020097625550774,132
push,0.7008917068205829,192
class,0.6999133577263006,193
invited,0.6996033458733799,187
genuinely,0.6993867401891314,265
one friend,0.699241799582571,159
told,0.6991467829627148,436
birthday,0.6984325478626091,216
dating,0.6983947022597852,473
hit,0.6966642724625731,284
kinda,0.696167850885104,276
want friends,0.6907563322940555,165
everyday,0.688815738617331,254
try make,0.688371254090546,179
even know,0.6881155949650855,178
mean,0.6880064868973692,465
ignored,0.686652902677214,234
inside,0.6830269718364297,237
part,0.681411689298874,378
currently,0.6804599126491278,203
party,0.679705416269422,197
far,0.6793289733051612,259
new friends,0.679264152645005,174
sick,0.6790588201190446,191
sure,0.6767820447576594,457
busy,0.6767566801515112,239
let,0.6767083666159911,495
relate,0.6766471694709989,223
want talk,0.6755907134942926,305
break,0.6753137158906438,291
barely,0.6749268049936871,182
together,0.674438033059342,421
boyfriend,0.6720344346672164,228
human,0.671893922801412,306
basically,0.6704445167358087,252
spent,0.6702118065397201,190
pandemic,0.6655672653250535,108
fact,0.6621551218789455,282
one talk,0.6616864805844006,149
gotten,0.6608611243525986,150
stuck,0.6599951042284007,191
last year,0.6590715104743745,163
spend time,0.658428940451957,167
pathetic,0.6569203503053415,133
vent,0.6568104370120332,312
extremely,0.6544938029838439,228
looking,0.6529067033420083,1204
second,0.6528744943183281,178
constantly,0.6491020124197995,199
whenever,0.6486639696977505,186
soon,0.6483515421680538,221
entire,0.6473301135045995,221
found,0.6455461362055193,330
head,0.641898464273751,291
except,0.6413360141977377,160
gonna,0.6401301888737149,280
consider,0.6366950964982349,185
act,0.6360879564018656,182
felt like,0.6330232677987064,180
learn,0.6324869875544332,226
afraid,0.6321850279574325,184
friends group,0.6314257002241748,134
contact,0.6313975173284547,232
covid,0.6312843831327786,142
ghosted,0.6291606006338736,185
like one,0.6274333917390296,157
side,0.6257041697802056,184
accept,0.6246758966992192,235
less,0.6242048397278981,284
speak,0.6237639787162772,252
thanks,0.6223024942667937,445
fine,0.6185573900383932,205
message,0.6174493996237985,481
still feel,0.615885651524131,152
growing,0.6152503285320416,168
none,0.6123974142595789,146
abusive,0.6120455306758742,147
moment,0.6110615450024478,261
girl,0.6106613478832229,763
eat,0.6101037291607617,201
decided,0.6075080844649438,250
suicide,0.6070917828338788,230
university,0.6067286260918859,148
super,0.6061194729315365,193
close friends,0.605435031178335,166
three,0.6038789327217914,127
comfortable,0.6030121073720013,263
country,0.6026231834110645,150
stupid,0.6017611894148265,225
especially,0.60156149346801,263
never really,0.5997714769769898,125
walk,0.5988772739570718,246
worst,0.5962856553892139,190
longer,0.5957711162359247,187
chance,0.5953081115205235,221
guy,0.5949522018088588,721
emotional,0.5948571851890025,385
normal,0.594167912082249,282
apart,0.5940535700481846,215
brother,0.5940181401221366,120
new people,0.5927201164678296,138
hobbies,0.5925538373830812,157
lack,0.5905725798139606,149
deal,0.589795939730475,222
surrounded,0.5888320846968487,108
people talk,0.5878815158854905,177
city,0.5875489577159938,123
desperate,0.585539517251153,150
physical,0.5847846182586514,211
supposed,0.5840820589296297,217
everyone else,0.5840623309026257,119
wish could,0.5831492050812956,185
phone,0.582889519827875,220
effort,0.5801722860676647,174
friends talk,0.5799274974876961,145
damn,0.5791814559767063,140
experience,0.5789322386559819,303
years old,0.578507482156201,263
write,0.5784458823984128,221
good friends,0.5760181272385272,143
video,0.5729949077533562,258
noticed,0.5729924920765802,187
absolutely,0.5719126845577057,196
situation,0.5709431929449355,288
introvert,0.5708244221701152,129
lonely feel,0.5705909067484346,101
broke,0.569429771444768,214
slowly,0.5680512252312608,143
wish someone,0.5673724200572032,140
half,0.5671525934705867,133
waiting,0.5664689569429772,239
knew,0.5656307171017033,236
idk,0.5655759617614471,316
small,0.5621787149887912,210
several,0.560769167589992,145
dad,0.5581219884562858,132
partner,0.5577495716199851,173
awkward,0.5569946726274834,155
quite,0.5555476822386559,272
months ago,0.555142653765879,121
worry,0.5538228890205881,209
wake,0.5536280244273235,191
every day,0.5533977299080111,182
money,0.5530160529774022,171
friends even,0.552518826174341,110
bother,0.5505552835682445,198
really want,0.5501462289675075,174
somewhere,0.5496920817336186,128
many people,0.5489625473472648,142
forever,0.5478215426833981,163
expect,0.5464852708134711,204
deep,0.5462042470818624,184
feel really,0.5461096330748022,123
drive,0.5452053647349842,140
fear,0.544268082145894,140
fault,0.5423129944085134,130
friends family,0.5417187379216161,108
finally,0.5407347522481899,266
bed,0.5382735802262362,235
goes,0.5379933617202195,168
failed,0.5373081147414259,131
laugh,0.5372465149836377,195
try talk,0.5368479283155969,94
video games,0.5363768713442758,131
young,0.5363688190883558,145
make new,0.5357512110592904,115
share,0.5342168536937308,438
